Titel;Englisch;Definition;Quelle;Gesamter Inhalt;Url
Abschluss;(completion);Juristisch: Als Abschluss des klinischen Versuchs gilt der letzte Folgebesuch der letzten teilnehmenden Person (follow up visit), sofern im Prüfplan nichts anderes bestimmt ist.;Quelle: Art. 38 KlinV;"Juristisch:
Als Abschluss des klinischen Versuchs gilt der letzte Folgebesuch der letzten teilnehmenden Person (follow up visit), sofern im Prüfplan nichts anderes bestimmt ist.
Quelle: Art. 38 KlinV";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=57
Anatomie;(anatomy);Juristisch: Die Lehre vom Bau des menschlichen Körpers auf allen Ebenen von der Makroskopie bis hin zur hochauflösenden Elektronenmikroskopie.;Quelle: Bundesgesetz über die Forschung am Menschen (Humanforschungsgesetz, HFG). Erläuternder Bericht zum Vorentwurf. 2006, S. 33.;"Juristisch:
Die Lehre vom Bau des menschlichen Körpers auf allen Ebenen von der Makroskopie bis hin zur hochauflösenden Elektronenmikroskopie.
Quelle: Bundesgesetz über die Forschung am Menschen (Humanforschungsgesetz, HFG). Erläuternder Bericht zum Vorentwurf. 2006, S. 33.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=7
Anonymisierte gesundheitsbezogene Daten;(Anonymised health-related data);Juristisch: ;Quelle: ;"Juristisch:

gesundheitsbezogene Daten, die nicht oder nur mit unverhältnismässigem Aufwand auf eine bestimmte Person zurückgeführt werden können

Quelle: 
Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=522
Anonymisiertes biologisches Material;(Anonymised biological material);Juristisch: ;Quelle: ;"Juristisch:

biologisches Material, das nicht oder nur mit unverhältnismässigem Aufwand auf eine bestimmte Person zurückgeführt werden kann

Quelle: 
Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=521
Anonymisierung;(anonymization);Juristisch: 1. Zur Anonymisierung biologischen Materials und gesundheitsbezogener Personendaten müssen alle Angaben, die in ihrer Kombination die Wiederherstellung des Bezugs zu einer Person ohne unverhältnismässigen Aufwand erlauben, irreversibel unkenntlich gemacht oder gelöscht werden.2. Insbesondere unkenntlich gemacht oder gelöscht werden müssen Namen, Adresse, Geburtsdatum und eindeutig kennzeichnende Identifikationsnummern. ;Quelle: Art. 25 HFV;"Juristisch:
1. Zur Anonymisierung biologischen Materials und gesundheitsbezogener Personendaten müssen alle Angaben, die in ihrer Kombination die Wiederherstellung des Bezugs zu einer Person ohne unverhältnismässigen Aufwand erlauben, irreversibel unkenntlich gemacht oder gelöscht werden.2. Insbesondere unkenntlich gemacht oder gelöscht werden müssen Namen, Adresse, Geburtsdatum und eindeutig kennzeichnende Identifikationsnummern. 
Quelle: Art. 25 HFV";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=8
Anwendungsbeobachtungen;(observation studies);Juristisch: Bei Phase-IV-Studien und Anwendungsbeobachtungen (oft auch Praxiserfahrungsberichte genannt) geht es darum, bereits standardisiert zur Anwendung gelangende Methoden oder bereits zugelassene Heilmittel in der gängigen ärztlichen Praxis einer Kontrolle zu unterziehen. Solche Kontrollen werden nach anerkannten wissenschaftlichen Methoden durchgeführt und können in Einzelfällen mit einem allgemeinen Erkenntnisgewinn verbunden sein, z.B. wenn neue Erkenntnisse zur Wirksamkeit und Sicherheit eines Medikaments gewonnen werden sollen. Ähnlich handelt es sich bei Anwendungsbeobachtungen teilweise um die Suche nach verallgemeinerbaren Erkenntnissen. Die Zuordnung der Phase-IV-Studien und Anwendungsbeobachtungen zur Forschung im Sinne des vorliegenden Entwurfs ist deshalb je nach Art und Ziel dieser Tätigkeiten zu entscheiden.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 10/11/2014.;"Juristisch:
Bei Phase-IV-Studien und Anwendungsbeobachtungen (oft auch Praxiserfahrungsberichte genannt) geht es darum, bereits standardisiert zur Anwendung gelangende Methoden oder bereits zugelassene Heilmittel in der gängigen ärztlichen Praxis einer Kontrolle zu unterziehen. Solche Kontrollen werden nach anerkannten wissenschaftlichen Methoden durchgeführt und können in Einzelfällen mit einem allgemeinen Erkenntnisgewinn verbunden sein, z.B. wenn neue Erkenntnisse zur Wirksamkeit und Sicherheit eines Medikaments gewonnen werden sollen. Ähnlich handelt es sich bei Anwendungsbeobachtungen teilweise um die Suche nach verallgemeinerbaren Erkenntnissen. Die Zuordnung der Phase-IV-Studien und Anwendungsbeobachtungen zur Forschung im Sinne des vorliegenden Entwurfs ist deshalb je nach Art und Ziel dieser Tätigkeiten zu entscheiden.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 10/11/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=9
Artikel;(article);Grundlegende Gliederungseinheit eines Erlasses, die weiter in Absätze, Buchstaben, Ziffern und Striche unterteilt werden kann.;Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 10/11/2014.;"Grundlegende Gliederungseinheit eines Erlasses, die weiter in Absätze, Buchstaben, Ziffern und Striche unterteilt werden kann.
Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 10/11/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=13
Artikel 118b BV;(article 118b of the Federal Constitution);Juristisch: Forschung am Menschen1. Der Bund erlässt Vorschriften über die Forschung am Menschen, soweit der Schutz seiner Würde und seiner Persönlichkeit es erfordert. Er wahrt dabei die Forschungsfreiheit und trägt der Bedeutung der Forschung für Gesundheit und Gesellschaft Rechnung.2. Für die Forschung in Biologie und Medizin mit Personen beachtet er folgende Grundsätze:a. Jedes Forschungsvorhaben setzt voraus, dass die teilnehmenden oder gemäss Gesetz berechtigten Personen nach hinreichender Aufklärung ihre Einwilligung erteilt haben. Das Gesetz kann Ausnahmen vorsehen. Eine Ablehnung ist in jedem Fall verbindlich.b. Die Risiken und Belastungen für die teilnehmenden Personen dürfen nicht in einem Missverhältnis zum Nutzen des Forschungsvorhabens stehen.c. Mit urteilsunfähigen Personen darf ein Forschungsvorhaben nur durchgeführt werden, wenn gleichwertige Erkenntnisse nicht mit urteilsfähigen Personen gewonnen werden können. Lässt das Forschungsvorhaben keinen unmittelbaren Nutzen für die urteilsunfähigen Personen erwarten, so dürfen die Risiken und Belastungen nur minimal sein.d. Eine unabhängige Überprüfung des Forschungsvorhabens muss ergeben haben, dass der Schutz der teilnehmenden Personen gewährleistet ist. ;Quelle: Bundesverfassung der Schweizerischen Eidgenossenschaft. Art. 118b BV;"Juristisch:
Forschung am Menschen1. Der Bund erlässt Vorschriften über die Forschung am Menschen, soweit der Schutz seiner Würde und seiner Persönlichkeit es erfordert. Er wahrt dabei die Forschungsfreiheit und trägt der Bedeutung der Forschung für Gesundheit und Gesellschaft Rechnung.2. Für die Forschung in Biologie und Medizin mit Personen beachtet er folgende Grundsätze:a. Jedes Forschungsvorhaben setzt voraus, dass die teilnehmenden oder gemäss Gesetz berechtigten Personen nach hinreichender Aufklärung ihre Einwilligung erteilt haben. Das Gesetz kann Ausnahmen vorsehen. Eine Ablehnung ist in jedem Fall verbindlich.b. Die Risiken und Belastungen für die teilnehmenden Personen dürfen nicht in einem Missverhältnis zum Nutzen des Forschungsvorhabens stehen.c. Mit urteilsunfähigen Personen darf ein Forschungsvorhaben nur durchgeführt werden, wenn gleichwertige Erkenntnisse nicht mit urteilsfähigen Personen gewonnen werden können. Lässt das Forschungsvorhaben keinen unmittelbaren Nutzen für die urteilsunfähigen Personen erwarten, so dürfen die Risiken und Belastungen nur minimal sein.d. Eine unabhängige Überprüfung des Forschungsvorhabens muss ergeben haben, dass der Schutz der teilnehmenden Personen gewährleistet ist. 




Quelle: Bundesverfassung der Schweizerischen Eidgenossenschaft. Art. 118b BV";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=14
Arzneimittel;(drug);"Produkte chemischen oder biologischen Ursprungs, die zur medizinischen Einwirkung auf den menschlichen oder tierischen Organismus bestimmt sind oder angepriesen werden, insbesondere zur Erkennung, Verhütung oder Behandlung von Krankheiten, Verletzungen und Behinderungen; zu den Arzneimitteln gehören auch Blut und Blutprodukte.";Quelle: Art. 4 HMG ;"Produkte chemischen oder biologischen Ursprungs, die zur medizinischen Einwirkung auf den menschlichen oder tierischen Organismus bestimmt sind oder angepriesen werden, insbesondere zur Erkennung, Verhütung oder Behandlung von Krankheiten, Verletzungen und Behinderungen; zu den Arzneimitteln gehören auch Blut und Blutprodukte.
Quelle: Art. 4 HMG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=15
Arzneimittelstudie;(drug study);Eine klinische Studie am Menschen mit dem Ziel, die Wirksamkeit, Verträglichkeit und Sicherheit sowie weitere Eigenschaften eines Arzneimittels (Pharmakodynamik) oder dessen Aufnahme, Verteilung und Ausscheidung aus dem Körper (Pharmakokinetik) systematisch zu untersuchen. Unterschieden werden Arzneimittelstudien der Phase I–IV.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.;"Eine klinische Studie am Menschen mit dem Ziel, die Wirksamkeit, Verträglichkeit und Sicherheit sowie weitere Eigenschaften eines Arzneimittels (Pharmakodynamik) oder dessen Aufnahme, Verteilung und Ausscheidung aus dem Körper (Pharmakokinetik) systematisch zu untersuchen. Unterschieden werden Arzneimittelstudien der Phase I–IV.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=16
